Route,Methods,Description,Tags,Status
/parent/settings/update,POST,"🔐 APA-HARDENED ROUTE: POST /api/parent/settings/update Purpose: - Allows verified parents to update permissions and visibility settings for a specific child account they are linked to. Features: - Validates input using Zod - Ensures the parent is authenticated and linked to the child via ParentLink - Updates child settings in the profile table (e.g., invite ability, public cliqs, media access) Used In: - ParentsHQPage (toggle controls and visibility settings) - ParentDashboard wrapper (per-child management UI) Completion: ✅ Fully implemented and APA-compliant as of June 30, 2025","APA-Hardened, Auth-Required, Write",Active
/parent-approval/complete,POST,🔐 APA-HARDENED ROUTE: POST /api/parent-approval/complete Purpose: - Completes the parent approval process - Creates parent account if needed - Links parent to child account - Sets child account to approved - Applies test plan (no Stripe integration) Body Params: - inviteCode: string (required) - childId: string (required) - parentEmail: string (required) - password: string (required) Returns: - 200 OK if approval completed successfully - 400 if missing required params - 404 if invite not found - 500 if server error,"APA-Hardened, Write",Active
/parent-approval/request,"GET, POST",🔐 APA-HARDENED ROUTE: POST /api/parent-approval/request Purpose: - Handles child sign-up requests that require parent approval - Sends approval email to parent/guardian - Stores pending approval in database Body Params: - childFirstName: string (required) - childBirthdate: string (required) - parentEmail: string (required) Returns: - 200 OK if approval request sent successfully - 400 if missing required fields - 500 if server error Security: - No account created until parent approves - APA-compliant child protection flow,"APA-Hardened, Read, Write",Active
/parent-approval/validate,GET,🔐 APA-HARDENED ROUTE: GET /api/parent-approval/validate Purpose: - Validates parent approval request - Returns child information for preview Query Params: - inviteCode: string (required) - childId: string (required) Returns: - 200 OK with child info if valid - 400 if missing required params - 404 if invite not found - 500 if server error,"APA-Hardened, Read",Active
/posts/create,POST,"🔐 APA-HARDENED ROUTE: POST /api/posts/create Purpose: - Creates a new post inside a specific cliq - Supports optional image and text content - Sets default expiration at 90 days Auth: - Uses getCurrentUser() for session validation Input Body: { content?: string, image?: string (URL), cliqId: string } Returns: - 200 OK + new post - 401 if unauthenticated - 400 if invalid input or missing content - 500 on DB/server error","APA-Hardened, Auth-Required, Write",Active
/red-alert,POST,POST /api/red-alert,"Auth-Required, Write",Active
/replies,POST,🔐 APA-HARDENED — Create a reply to a post,"APA-Hardened, Auth-Required, Write",Active
/resend-verification,POST,Define validation schema,Write,Active
/reset-password,POST,🔐 APA-HARDENED RESET PASSWORD ENDPOINT,"APA-Hardened, Write",Active
/send-parent-email,POST,"🔐 APA-HARDENED ROUTE: POST /api/send-parent-email 🛠️ INTERNAL USE ONLY Purpose: - Sends parent approval emails for child account creation - Internal helper route for invite flow - Not intended for direct external API calls Tags: Internal, Helper, Email ⚠️ This is an internal helper route - use invite/create instead","APA-Hardened, Write",Active
/send-reset-email,POST,API route handler for sending password reset emails Uses the consolidated sendResetEmail helper from lib/auth,"APA-Hardened, Write",Active
/sign-in,POST,"🔐 APA-SAFE LOGIN ROUTE — FINAL VERSION Authenticates user with email/password, verifies child approval, issues secure session cookie via NextResponse headers. ✅ No persistent tokens used ✅ Role and approval validation ✅ Secure session-based auth only ✅ Legacy tokens cleared",Write,Active
/sign-out,POST,API Route for signing out users Clears auth_token cookie and any other session data,Write,Active
/sign-up,POST,🔐 APA-HARDENED — Sign-Up API Route,"APA-Hardened, Write",Active
/test-email,GET,Simple test endpoint to verify Resend API is working Access via: /api/test-email?email=your@email.com,Read,Active
/uploadthing,Unknown,No description available,,Active
/user/plan,POST,"API endpoint to save user's plan selection This is called from the choose-plan page For free/test plans, this directly updates the Account record For paid plans, this would normally redirect to Stripe","Auth-Required, Write",Active
/validate-invite,GET,"🔐 APA-HARDENED ROUTE: GET /api/validate-invite Purpose: - Validates an invite code provided in the query string - Confirms the invite exists, is still pending, and is not expired Query Params: - code: string (invite code to validate) Returns: - 200 OK with cliqId, invitedRole, inviterId if valid - 400 if no code is provided - 404 if invite is not found - 410 if invite is already used or expired Used In: - Sign-up and onboarding flow to validate invite links - Early access or referral systems (optional future use) Related Routes: - /api/invite/create → issues new invite codes - /api/invite-request/approve → enables parent approval before invite creation Completion: ✅ Fully live and APA-compliant as of June 30, 2025","APA-Hardened, Read",Active
/verify-email,GET,Email Verification API Endpoint Purpose: - Processes email verification tokens - Marks accounts as verified when users click verification links - Required verification (users must verify before accessing the app),Read,Active
/webhooks/stripe,POST,"Stripe Webhook API Route This webhook handler processes Stripe events, particularly focusing on payment success to automatically verify user accounts when they make a successful payment.",Write,Active
